,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
13,Process Development Scientist 29981- Validation & Investigation,$70K-$95K (Glassdoor est.),"Education: *
*Doctorate degree or Master’s degree and 3 years of directly related experience or Bachelor’s degree and 5 years of directly related experience or Associate’s degree and 10 years of directly related experience.*
Preferred Qualifications: *
*This position is to work in the PD Drug Product Formulation Team.*
*Previous experience in product process characterization/validation, investigations and tech transfer activities are required.*
*Previous experience in process development or technical services.*
*Previous knowledge in PI vision and statistical tools for data analysis.*
*Candidate must be fluent in English (written and spoken).*
*Available to work on non-standard shift including third shift and over the weekend when required.*
*Strong technical written skills.*
Description: *
To conceive, design, implement and execute specific scientific experiments, which contribute to the successful completion of goals and/or projects under general guidance of supervisor. Under general guidance of supervisor,
Conceives and designs, executes or evaluates, and interprets experimental strategies. Provides input to new processes to generate robust and reliable data.
Ensures that studies are conducted in compliance with the respective protocol and applicable guidelines and regulations.
Designs, monitors or conducts experimental strategies with general guidance from supervisor. Provides data analysis and interpretation, and assesses impact of the data on the project.
Keeps current in field of scientific expertise and areas relevant to their function. Monitors field of expertise, including literature and technology development, and communicates relevant observations. May introduce advanced scientific methods.
Develops and implements new and novel protocols to address specific issues. May represent the department on project teams under supervision of a senior scientific staff member.
May initiate productive collaborations within and outside of the department or company. Advises or assists others in experimental design and/or interpretation/diagnosis of data and implementing innovative remedies.
Independently authors scientific reports, summary documents, complex regulatory documents, invention disclosure submissions and/or patents. Participates in external scientific community.
May assume lead role in department-wide support efforts such as safety, recruiting and committees. May develop supervisory and mentoring skills. Develops and follows timelines for completing project team work.
Skills: *
Advanced scientific analysis and troubleshooting skills.
Advanced laboratory work skills.
Ability to motivate and/or supervise the activities of others.
Must be well organized, have multi-task project experience, and be able to communicate and work well with other departments.
Must have demonstrated skills and competencies in the following areas: Verbal communication
Written communication including technical writing skills, negotiation and conflict resolution
Analytical problem solving Project management
Ability to be flexible and manage change. Computer literacy (Windows environment: Word, Excel, Power Point).
Skills requiring the application of scientific theory. Creative skills in the design and performance of scientific experiments and interpretation of results. Strong knowledge of cGMP’s. Fully bilingual (English/Spanish).
Job Type: Full-time

Salary: $0.00 per hour",3.7,"CIS International LLC
3.7","Juncos, PR",-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
14,Cell Line Development Scientist,$70K-$95K (Glassdoor est.),"Job Title: Scientist, Cell Line Development*
Work Location: Chesterfield - MO*
Duration: 12 Months*
Job Description:
The client's Cell Line Development (CLD) organization is seeking a motivated, qualified candidate to be a technical leader, in a lab based Scientist role. The successful candidate will have the opportunity to perform platform cell line development activities, which advance the Client's Gene Medicines pipeline toward clinical and commercial development. The position will be involved in the advancement of the mammalian protein expression portfolio as well as Client technology development and process optimization programs. This role will involve all molecular and cell biology aspects of cell line development from vector design/construction, cell culture maintenance, clone screening, flow cytometry, and cell line characterization. The successful candidate will also help to design and drive innovative improvements to CLD technologies, practices and infrastructure to ensure successful delivery of the project portfolio and continuous technology improvements. In addition, experience with systems biology, synthetic biology, bioinformatics, and/or automation technologies is desired.

ROLE RESPONSIBILITIES
Be a key member of the CLD team that will support the execution of both technology development and pipeline projects.
Demonstrate outstanding communication and presentation skills, a documented ability to troubleshoot technical issues, and ability to plan and carry out experiments independently, and to work with complex instrumentation and software.
Effectively document all lab activities in notebooks/ elsewhere as required and appropriate, in a timely fashion.
Represent CLD to the scientific community through the delivery of high-quality presentations at external venues and publication of work in peer-reviewed journals.
Evaluate data and provide clear reports that can be shared and transferred to and from cross functional teams; responsible for clear communication in written & oral forms.
Adherence to safety protocols and knowledge of basic laboratory procedures to advance projects under rapidly shifting priorities and timelines.
Work closely with groups outside of the CLD organization to advance portfolio and technology development initiatives.
Work with and contribute to associated regulatory filing activities.
Support laboratory activities by monitoring lab equipment and maintaining a clean and safe working environment.

NOTES:
really need someone that can hit the ground running + experienced
#1 Mandatory Skills: Mammalian Cell Culture Experience
Huge Plus: Molecular biology
candidates must have that experience in tissue/cell culture and familiar with aseptic techniques
Ph.D. entry-level or Masters with 5+ yrs experience
#IRI1

Job Type: Contract

Schedule:
Monday to Friday",3.2,"Integrated Resources, Inc
3.2","Chesterfield, MO",-1,201 to 500 Employees,1996,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1
15,Data Analyst,$70K-$95K (Glassdoor est.),"PerBlue is looking for an aspiring Data Analyst to join our team. We’re a quickly growing independent studio whose free-to-play midcore mobile games have been played by millions people around the world, including Disney Heroes: Battle Mode. Our cross-functional and collaborative team has experience across the videogame industry. Headquartered in Madison, Wisconsin, we are also based remotely around the United States for an unmatched quality of life and work.

We’re looking for a thoughtful data wizard who can help us dig through mountains of video game data, analyze it, find actionable insights, and present them to everyone else on the team. We appreciate someone who can challenge us to think creatively in new ways about how to understand our data, while still having a commitment to delivering results.

This position is open for full-time remote work within the United States or for relocation to work in Madison.

Responsibilities

As a key addition to our BI team, you’ll be involved in the full lifecycle of our data infrastructure - everything from helping designing database schemas and writing SQL queries, to creating and presenting succinct and informative dashboards and visualizations. This highly cross-functional team member communicates and collaborates regularly with marketing, live-ops, development, product, and management teams.

Our ideal candidate is a quick learner who is detail-oriented, responsive, and truly loves making sense of large amounts of data. You should enjoy working with data and technology in a fast-paced, dynamic environment, to support collaborative team goals. You should fully support PerBlue’s commitment to diversity and inclusion in our workplace and communities of game players.

Requirements and Qualifications
1+ years experience writing analytic SQL queries (emphasis on SELECTs using JOINs, GROUP BY, window functions, etc., not so much INSERTs/UPDATEs)
Ability to effectively communicate findings and recommendations, and connect with a variety of stakeholders
Highly motivated to deliver accurate results.
Able to proactively take ownership of tasks, delivering meaningful, accurate results that add value.
Lifelong learner who is always excited to learn and try new things.
Nice-to-Have Skills and Experience
1+ years experience in data-related role
Mobile and/or free-to-play game industry experience
Postgres and/or Snowflake/Redshift cloud database querying
Tableau or other data exploration, visualization and interactive dashboarding software
Machine learning / artificial intelligence
Data modeling
Basic statistics (AB testing, confidence intervals, etc)
Programming, specifically Python
Version control systems, especially Git
Key Duties Will Include
Support and nurture a culture of honesty, trust, and collaboration via data.
Develop a strong understanding of our games, game design principles, core metrics and underlying assumptions; then work collaboratively to effectively question, test, and verify their truthfulness.
Break down questions and requests for data into smaller, actionable plans to guarantee stakeholders will get their real questions answered.
Improve existing Tableau dashboards and create new ones with a keen eye toward end user experience (ease of understanding, clarity, dashboard responsiveness, consistency, etc)
Write SQL for data exploration, quick question-answer, and for more in-depth understanding via Tableau Data Sources, statistical analysis, etc.
Do more thorough analyses when needed, including coming up with your own hypotheses, testing, revising, and ultimately providing data-driven, evidenced recommendations.
Provide summaries of actionable takeaways that are understandable to non-technical colleagues while also providing empirical evidence and thought process for stakeholders wanting deeper understanding.
Actively participate in PerBlue’s efforts to be a welcoming, inclusive and diverse workplace.
Compensation and Benefits

We offer 6+ weeks of paid vacation and health, dental, and vision insurance as well as a well-matched 401k. We also support our remote team with a catered lunch plan, snack box delivery, and a variety of other perks. You'll be part of an energetic and collaborative environment with flexible hours. We are headquartered in the vibrant neighborhood around beautiful downtown Madison.

We’ve been named a “Top Developer” by Google and given several “Best Place to Work” awards by a variety of publications.

No agencies, please. We regret that we cannot consider visa sponsorship or candidates based outside of the United States for this position at this time.",4.3,"PerBlue
4.3","Madison, WI",-1,51 to 200 Employees,2010,Company - Private,Video Games,Media,Unknown / Non-Applicable,-1
16,Scientist,$70K-$95K (Glassdoor est.),"Why Join Revenue Analytics?
Because you have exceptional talents and you want to be part of a fun and highly collaborative team that creates analytical products and solutions to eliminate the unknowns in business problems for world-renowned companies.

What's In It For You?
· Competitive base salary
· 100% paid healthcare including medical, dental, and vision coverage for our employees and their families
· 100% paid life insurance, long and short-term disability coverage for team members
· 401k plan with a generous match and is vested immediately
· Company issued cell phone or phone allowance
· 18 days PTO, 9 paid holidays, and unlimited sick time
· Gym membership reimbursement
· Flexible work arrangements
· Once again voted a Top Workplace in Atlanta in 2020!

Come help us execute the vision and roadmap for our product analytics and hey, while you’re at it…why not give our customers the confidence and trust that they’re making the best pricing decisions possible (all provided by your whip-smart data and analytics chops)?
A Day In the Life
You will develop and implement the predictive analytics models that form the backbone of our products, leveraging Revenue Analytics precedent and Atlas toolkits
Translate business needs and processes into modeling requirements
Do parameter tuning of forecast and/or optimization models to best fit a customer’s data
Deliver analysis and models results that meet key Quality Assurance standards (i.e., reasonability checks, error checks, etc.)
Communicate your analysis, models, and insights effectively in business language to customers and internal Team Members
Effectively explain to customers and prospects how the analytics in our products work and address customer questions about model recommendations
Complete analysis in a repeatable way that can be leveraged across multiple customers and situations
Keep up to speed with data science trends and news so that you can incorporate new methodologies and approaches as appropriate.
Who You Are
Master’s degree or foreign equivalent in Operations Research, Economics, Engineering, or another applied mathematics discipline and at least one year of experience applying research to Revenue or Yield Management issues
In lieu of a master's or the foreign equivalent degree and one year of stated experience, we will accept a Ph.D. or foreign equivalent degree in one of the above specified fields
Must also have experience solving business problems using statistics, machine learning or optimization; and using Python, R, or SQL analytical tools
Who We Are
A pioneer of Revenue Management, Revenue Analytics is an enterprise SaaS company that partners with hospitality, media, and passenger rail companies to solve their most complex pricing challenges. By leveraging powerful analytics and deep strategic experience, Revenue Analytics’ next-generation software delivers intuitive answers to help companies perfect their pricing, reclaim missed revenue, and take back their time. To learn more about how Revenue Analytics is recreating Revenue Management, visit revenueanalytics.com or follow us on Twitter and LinkedIn.

Revenue Analytics embraces diversity and is an equal opportunity. We are committed to building a Team that represents a variety of backgrounds, perspectives, and skills. The more inclusive we are, the better our work will be.",4.1,"Revenue Analytics
4.1","Atlanta, GA",-1,51 to 200 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1
17,Scientific Data Analyst,$70K-$95K (Glassdoor est.),"Scientific Data Analyst

Melbourne, FL

Ability to obtain and maintain a security clearance

National Security

Job Description

ENSCO, Inc., is seeking a Scientific Data Analyst to work closely with a team of scientists and analysts. The work is mission critical, involves solving real-world problems, and encompasses the following technical areas. Develop scientific software/algorithms using advanced mathematics and digital signal processing techniques. Identify and apply appropriate machine learning techniques to evaluate large disparate data sets. Apply digital signal processing techniques in the frequency and time domains to evaluate recorded signals from a distributed sensor network. (e.g. array processing, noise rejection, tracking) to extract and identify signals or features of interest.

The Scientific Data Analyst will work in ENSCO's National Security Solutions (NSS) Division, which provides innovative customized products and services vital to national safety and security. A primary focus area is the development of software systems for multipurpose data collections, processing, and analysis.

Qualifications Required (Skills)

BS in Mathematics, Electrical Engineering, Computer Science, Physics, Acoustics, Geophysics, or related field.

3+ years of related work experience.

Demonstrated proficiency developing algorithms using advanced applied mathematics on large data sets.

Demonstrated expertise with digital signal processing techniques and statistical analysis.

Ability to assimilate large complex scientific data sets from disparate sources and analyze results.

Ability to perform uncertainty and sensitivity analysis on complex models evaluated over multi-dimensional input parameter spaces.

Technical skills to understand and analyze problems, define potential solutions, and conduct in-depth technical analysis.

Demonstrated experience preparing technical reports and preparing and presenting technical briefings.

Demonstrated experience in making technical assessments and communicating results of technical studies to non-scientists.

Demonstrated proficiency with scientific analysis software such as Matlab and Python.

Demonstrated experience with use of a scripting computer language.

Ability to work in a team environment and as a self-starter

Excellent oral and written communication skills

Demonstrated experience with Microsoft Office.

Working knowledge of Windows and Unix/Linux operating systems.

MUST HAVE THE ABILITY TO OBTAIN AND MAINTAIN A TS/SCI SECURITY CLEARANCE, FOR WHICH YOU MUST BE A U.S. CITIZEN. YOU WILL NOT BE CONSIDERED FOR THIS POSITION IF YOU DO NOT MEET THIS REQUIREMENT.

Applicant selected will be subject to a government security investigation and must meet eligibility requirements for access to classified information

Qualifications Desired

MS in Mathematics, Electrical Engineering, Computer Science, or related field.

Working knowledge of a scientific programming language such as Python, R, C, or FORTRAN.

Experience with relational databases.

Observational experience processing and interpreting time series and frequency domain dataset, including ability to distinguish signals from noise.

Working knowledge of wave propagation and signal interpretation in solid/fluid media.

#LI-KM1

Req ID

1866BR

Internal Position Title

Scientist III

Employment Status

Regular Full-time

General Education/Years of Experience

BS or equiv; min 3 yrs relevant exp

U.S. Citizenship

Yes

Background Check Type

7 year

Drug Screen Type

None

Export Control and Licensing

None

Contract Award Contingency

No

Recruiter

Kierra McDonald

Division Description

The National Security Solutions (NSS) Division provides security solutions for the United States government. NSS employees offer a multi-disciplinary approach to solve some of the most challenging technical problems in complex operational environments. Our areas of expertise are in sensor development and integration; chemical, biological and geophysical phenomenology; software applications and modeling; and operational applications of technology.

Key customers include the Department of Homeland Security, the Department of Defense, and the Intelligence Community.

Strength in Diversity

ENSCO, Inc. and its wholly owned U.S. subsidiaries are equal opportunity/affirmative action employers, committed to diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender identity, sexual orientation, national origin, disability, or protected veteran status, or any other protected characteristic under state or local law.",3.7,"ENSCO, Inc.
3.7","Melbourne, FL",-1,501 to 1000 Employees,1969,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1
18,Senior Genomic Data Scientist,$70K-$95K (Glassdoor est.),"GeneDx is seeking a Senior Genomic Data Scientist

GeneDx is a rapidly-growing, diverse clinical laboratory in Gaithersburg, MD that provides molecular diagnosis for genetic disorders. GeneDx is recruiting for a full-time Senior Genomic Data Scientist. This scientist will work as part of a team to develop techniques and software for genomic and phenomic data analysis. The successful candidate must be self-motivated and able to work both independently and as part of a small team.

To learn more about GeneDx, please visit our website at www.genedx.com.

Responsibilities include:
Develop and use bioinformatics tools to process, analyze, and interpret DNA, datasets resulting from NGS, array-based, and other technologies
Ongoing assessment and incorporation of relevant public and commercial analytical tools and the development of novel methods as needed
Create methods to interpret the biological impact of genetic variants
Improve existing data pipelines to further automate internal workflows
Collaborate with the engineering team to develop large-scale data processing pipelines
Collaborate internally on software development and/or statistical analysis for scientific research
Contribute development and expertise for ad-hoc analysis on interdisciplinary company projects

Qualifications include:
MS or PhD in Genetics, Bioinformatics, Computer Science or a related field
3+ years relevant professional experience including analysis of genetic data
Proficiency in Python or another major scripting language
Working knowledge of command-line Linux, shell scripting, and HPC/cloud computing (SLURM, SGE, AWS, Azure or similar)
Working knowledge of relational databases (PostgreSQL or similar) preferred
Experience with Git, SVN or other version control software plus other best practices for software development preferred
Familiarity with next-generation sequencing (NGS) data and related tools (Samtools, GATK, etc.) and other genetic assay data (e.g. aCGH)
Prior experience with human genetics

Benefits include:
Paid Time Off (PTO)
Health, dental, vision, life insurance, LT/ST disability plans
Flexible Spending Account (FSA)
Health Savings Account (HSA)
401K retirement savings plan with company match
Employee Discounts
Regular performance appraisals
Many promotions from within
Business casual dress code
Telecommuting options available",2.8,"GeneDx
2.8","Gaithersburg, MD",-1,201 to 500 Employees,-1,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),-1
19,Data Analyst,$70K-$95K (Glassdoor est.),"Breckenridge Grand Vacations (BGV) is seeking qualified analysts who will help grow our highly cross-functional analytics department. The Data Analyst is responsible for quantitative& qualitative analysis, reporting, and data mining across all of BGV’s finance, marketing, operations, and sales divisions. At its highest level, this position identifies the business’ analytical needs, collaborates with the analytics team& business intelligence, develops thoughtful analyses, and effectively communicates findings and recommendations to key decision makers including executive leadership. BGV Analysts are highly detail oriented, proactive self-starters, team players, capable of multi-tasking, and can analyze large amounts of data with creativity and innovation in mind. Please visit www.BGVjobs.com to apply!

Data Analyst Essential Duties and Responsibilities(including but not limited to):
Understand and facilitate the integration of various business processes, people, software, data, and relevant technology to identify, configure, and communicate meaningful information that supports and drives decision making across all divisions of the company.
Leverage Tableau, MS Excel, and other BI tools for analysis, reporting, data visualization, self-service support, across disparate systems. Analysts must stay abreast of changes and improvements within the software to maximize value.
Provide pertinent information to BGV managers and executives by assembling and summarizing data, developing thorough analyses, preparing reports, identifying business solutions, making presentations of findings, and recommending courses of action.
Build and maintain analytical models, dashboards, reports, and templates to drive awareness and understanding of key performance indicators while ensuring quality, accuracy, and a focused analytic review.
Utilize data analysis skills to perform full lifecycle analytics including gathering requirements, design and development of analytic data sets, data mining, data quality assessment, data profiling, analytical infrastructure maintenance, and predictive analytics support.
Convert business expectations into data analysis while recognizing the audience and effectively communicating complexities at an executive level.
Analytics Team Cross-Functional Focuses(including but not limited to):

Financial Analysis and Reporting:
Pro forma financial statements; revenue/expense budget development and variance tracking; profit/cost efficiencies; resort financing& hypothecation; accounts receivable management; tax reporting; prospective resort development
Marketing Analysis and Reporting:
Campaign strategy and segmentation; program, CRM, website, lead generation, and call center performance; property tour conversion; tour budgeting; tour show-rate tracking; no show predictions; product affinity; customer list building& targeting
Operations Analysis and Reporting:
Resort occupancy, owner usage, exchange usage, rental inventory and revenue management, average daily rates, guest outreach, owner support, reservation& contact center, vacation rentals, resort operations department performance, guest surveys
Sales Analysis and Reporting:
Sales volume forecasting; inventory control; pricing& commission management; agent performance; tour prospect ranking; tour scheduling enhancements; Volume Per Guest (VPG) budgeting; sales management and administrative initiatives
Required Experience:
2– 5 years of related professional experience developing analytics and working with data in an organization
Bachelor’s degree in Analytics, Finance, Economics, Marketing, Mathematics, Statistics, Real Estate or other related field
MBA/Masters, concentrations, certifications, or specializations in related field a plus
Qualifications:
Advanced abilities in Tableau and MS Excel (other data visualization and BI tools ok but Tableau is preferred)
Experience and knowledge of various statistical programming languages (Python, R, MATLAB)
Proficiency in reading and writing code/queries in SQL and Visual Basic (VBA)
Must be highly detail oriented with strong organizational skills and can multi-task
Possesses excellent interpersonal skills, is a team player, and is an enthusiastic learner& self-starter
Motivated by growth opportunities, looking for the ability to make an impact, appreciates work-life balance, and has an entrepreneurial spirit
Benefit Summary:
Robust Medical, dental, and vision insurance plans and employer match 401(k) plan
Paid holiday time-off and paid volunteer time-off
Recreation and ski pass programs
Tickets to Rockies, Avalanche and Nuggets games, Pepsi Center concerts and events
Discounts on lodging, retail, restaurants, and activities
Employee housing(subject to availability)
About Breckenridge Grand Vacations:

BGV was formed in 1984, serving as the developer, owner, and operator of four Breckenridge Resorts: Gold Point Resort, Grand Timber Lodge, the Grand Lodge on Peak 7 and our newest resort, the Grand Colorado on Peak 8. Winner of the ACE Philanthropic Award in 2016 from the American Resort Development Association (ARDA), Denver Post’s 2018 Top Large Workplace: 1st Place, and winner of the ACE Project of Excellence (Grand Colorado on Peak 8) in 2020 from the American Resort Development Association (ARDA) as the best resort in the world for the year. Breckenridge Grand Vacations is widely recognized as one of the most successful independent developers in the industry.

Here at Breckenridge Grand Vacations, we pride ourselves on always creating Grand vacations for families and friends alike. Our purpose statement sets the stage for impacting the lives not only of our owners and guests, but our employees and our community:The Soul of BGV is creating smiles!",4.3,"Breckenridge Grand Vacations
4.3","Breckenridge, CO",-1,501 to 1000 Employees,1984,Company - Private,"Hotels, Motels, & Resorts",Travel & Tourism,$10 to $25 million (USD),-1
20,Supply Chain Solution - Data Scientist,$70K-$95K (Glassdoor est.),"*CURRENT EMPLOYEES :
Please click here to be redirected to the internal career site.
Job Description


The Supply Chain Solution – Data Scientist will be based in Austin, TX. In this role you will be responsible for creating reports using a variety of tools and methods.

We are looking for someone who demonstrates:
Intense collaboration
Passionate customer focus
Thoughtful, fast, disciplined execution
Tenacious commitment to continuous improvement
Relentless drive to win
Here is a glimpse of what you’ll do…
Use various analytical techniques including visualization, statistical methods, machine learning/AI to create scalable solutions for business problems
Translate Supply Chain business problems and questions into specific quantitative questions to be answered w/ available data using robust methodologies. In many cases, the data collection at scale will be part of the task and may involve co-work with software development team
Coordinate and perform testing on data quality and solutions
Analyze and extract relevant information from big data to help automate and optimize key processes
Establish scalable, efficient, automated processes for large scale data analyses, model development, model validation and model implementation
Research and implement novel machine learning and statistical approaches
Make business recommendations (e.g. cost-benefit, forecasting, experiment analysis) with effective presentations of findings to stakeholders through visual displays of quantitative information
Build scalable prototype analytics solutions
Work closely with software development/engineering teams to build model implementations and integrate successful models and algorithms in production systems at scale
Here is some of what you’ll need (required)…
Minimum 4 years’ experience with R
Demonstrated skill and experience of data analysis within open source scripting languages (e.g. R, Python)
Strong experience with SQL and working with relational databases (SQL Server, Teradata, MySQL etc.)
Strong demonstrated knowledge of applied statistical and machine learning methods
Experience with XML, JSON data formats, working with REST API’s, SVN/Git or other version control tools and techniques
Experience with Tableau in dashboard development, deployment and administration
Demonstrated ability to manage projects and implementation of solutions/applications
Effective written and oral communication skills, team player
Here are some nice to have’s…
Master’s degree in STEM field/Operations Research/Data Science/Supply Chain
Work experience in Supply Chain/Manufacturing
Be able to present quantitative results in the right context to various target audiences
Experience within the RStudio ecosystem (Shiny dashboards and applications, Plumber API’s, RStudio Connect)
Experience working with non-relational databases like MongoDB
Experience of deploying ML applications on platforms like Microsoft Azure, AWS, Google Cloud preferred
Demonstrated experience in business applications of distributed computing (e.g. MapReduce, HIVE, HADOOP)
Demonstrated capability in building scalable analytical solutions
Experience in ownership of solutions – life-cycle, roadmap, implementation, business value generation
Portfolio of data science projects on Github.com, RPubs.com etc.
Knowledge of data structures and algorithms
Demonstrated ability to communicate and influence executives and upper management
Here are a few examples of what you’ll get for the great work you provide…
Full range of medical benefits, dental, vision
Life Insurance
Matching 401K
PTO
Tuition Reimbursement
Employee discounts at local retailers
Job Category
Global Procurement & Supply Chain

Flex does not accept unsolicited resumes from headhunters, recruitment agencies or fee based recruitment services. Flex is an Equal Opportunity Employer and employment selection decisions are based on merit, qualifications, and abilities. Flex does not discriminate in employment opportunities or practices based on: age, race, religion, color, sex, national origin, marital status, sexual orientation, gender identity, veteran status, disability, pregnancy status or any other status protected by law. Flex provides reasonable accommodation so that qualified applicants with a disability may participate in the selection process. Please advise us of any accommodations you request to express interest in a position by e-mailing: accesibility@flextronics.com. Please state your request for assistance in your message. Only reasonable accommodation requests related to applying for a specific position within Flex will be reviewed at the e-mail address. Flex will contact you if it is determined that your background is a match to the required skills required for this position. Thank you for considering a career with Flex.

The information we collect:

We may collect personal information that you choose to submit to us through the Website or otherwise provide to us. This may include your contact details; information provided in online questionnaires, feedback forms, or applications for employment; and information you provide such as CV/Resume. Your details will be provided to the entity you are applying for a job with. We will use your information for legitimate business purposes such as responding to comments or queries or answering questions; progressing applications for employment; allowing you to choose to share web content with others or; where you represent one of our customers or suppliers, administering the business relationship with that customer or supplier. We will process your data in accordance with our Recruitment Privacy Notice.

If you have any queries about the processing of your data, please contact:

Global Data Privacy Officer:

Email Address: chiefprivacyofficer@flex.com",3.8,"Flex
3.8","Austin, TX",-1,10000+ Employees,1969,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$10+ billion (USD),-1
21,Scientist,$70K-$95K (Glassdoor est.),"ArsenalBio’s mission is to develop efficacious and safe cellular therapies for patients with chronic diseases, initially cancer. Our products are being designed to herald the transition of adoptive cell therapy from a hospital based treatment to outpatient therapy, like most other cancer treatments. Our people are our greatest asset, they bring scientific talents in molecular biology, immunology, pharmacology, protein chemistry, computational biology, automation, genome engineering, software and other fields to make the future happen now.

We are seeking an outstanding Scientist to lead research efforts in areas of immunology that are key to understanding cancer immunity, including T cell and NK cell biology, as well as components of the tumor microenvironment. Strongest consideration will be given to candidates with demonstrated expertise in molecular or synthetic immunology and whose research interests are relevant to the problem of T cell development, mechanisms of immunosuppression, and next generation adoptive cell therapies. The successful candidate is expected to effectively lead cross-functional teams
What You Will Do:
Lead and drive studies applying cellular immunology, gene editing, single-cell sequencing and mouse modeling to address T cell dysfunction
Discovery and evaluation of novel mechanisms of tumor resistance to innate and adaptive immunity
Design and execution of cell-based functional assays to select candidate molecules for clinical development
Design and execution of drug mechanism of action studies using in vivo models and ex vivo methods, such as cell sorting, multi-color flow cytometry, immunohistochemistry/immunofluorescence, primary immune cell assays and 3D/organoid/explant assays.
Drive scientific and technical innovation collaboratively with other members of the company
Identify new ways to make better CAR T cells and collaborate with other ArsenalBio teams to move novel product concept designs to the clinic.
Provide exceptional scientific leadership and mentor and cross-train other scientists and research associates

What You Will Bring:
PhD, MD, DVM, or MD/DVM-PhD with at least 3 years of relevant post-doctoral research experience in Immunology, Biochemistry or Molecular Biology.
A strong work ethic, a steadfast commitment to discovery research and a documented ability to initiate, drive and complete research projects, as evidenced by a strong publication record.
Ability to manage an independent research program and to lead a cross-functional research team
Outstanding written and oral communication skills and the ability to organize and communicate complex data sets in a clear and concise manner to key stakeholders from diverse backgrounds are essential
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status

To all recruitment agencies: ArsenalBio does not accept agency resumes. Please do not forward resumes to our jobs alias, or Arsenalbio employees. ArsenalBio is not responsible for any fees related to unsolicited resumes.",5.0,"Arsenal Biosciences
5.0","South San Francisco, CA",-1,51 to 200 Employees,2019,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
22,Food Scientist,$70K-$95K (Glassdoor est.),"Location:
Marlborough, Massachusetts, US
Job Category:
General/Other: R&D/Science, New Product R&D
Job Type:

Employee

Job Posted:
August 17th, 2020

SUMMARY

Ken’s Foods is seeking a Food Scientist for our Marlborough, MA location. This position will plan, organize, and execute technical projects. Provide technical leadership and participate in product development/reformulation from concept to commercialization. Support other development projects, operations and related activities.

Summary of Primary Duties and Responsibilities:
Responsible for the development of: new products based on interaction/direction from Sales and Marketing and formula revisions (including cost reductions) of existing products.
Interaction with internal departments and outside vendors as projects dictate.
Participates in all aspects of the scale-up process (includes pre-production notes, hands-on supervision of plant trials, shelf-life evaluations, and coordination of product data to QC).
Commitment to safety begins with management. Managers and frontline supervisors are accountable for creating and maintaining a culture of Safety and assuring a safe work environment.
Other duties as assigned.
FOOD SAFETY RESPONSIBILITIES
Lead by example to ensure our highest quality manufacturing practices are being met.
Ensure team members follow all Ken's Food Safety and GMP policies.
Ensure all work is completed in a safe and sanitary manner.
Ensure team members produce product free of contamination.
Ensure team members report any suspicious activities anywhere in or around the plant.
Ensure team members inspect work area for any possible product contamination issues on a continuous basis.
Qualifications/Requirements:

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Education and/or Experience

Bachelor's degree (B. S.) from four-year College or University (specializing in Food Science); a minimum of two years related experience and/or training in a related field.

Employment with Ken's Foods is contingent upon successful completion of a drug test, background screening, and pre-employment assessment.

Apply

Back
New Search

Didn't find what you were looking for?

FacebookTwitterEmailShare",3.8,"Ken's Foods
3.8","Marlborough, MA",-1,1001 to 5000 Employees,1958,Company - Private,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
